descriptor_name,distance_metric,mean_precision_at_10,mean_recall_at_10
global_rgb_12bins,l1,0.296,0.1053
global_rgb_12bins,l2,0.2375,0.0841
global_rgb_12bins,chi2,0.3065,0.1087
global_rgb_12bins,cosine,0.2285,0.0813
global_rgb_24bins,l1,0.304,0.1076
global_rgb_24bins,l2,0.2235,0.0791
global_rgb_24bins,chi2,0.309,0.1095
global_rgb_24bins,cosine,0.249,0.0884
global_rgb_8bins,l1,0.2755,0.0976
global_rgb_8bins,l2,0.227,0.0803
global_rgb_8bins,chi2,0.2875,0.1021
global_rgb_8bins,cosine,0.222,0.0788
hog_9o_8ppc_2cpb,l1,0.2175,0.0755
hog_9o_8ppc_2cpb,l2,0.135,0.0468
hog_9o_8ppc_2cpb,chi2,0.1485,0.0514
hog_9o_8ppc_2cpb,cosine,0.1345,0.0466
spatial_color_16x16_12bins,l1,0.3325,0.1182
spatial_color_16x16_12bins,l2,0.1485,0.0517
spatial_color_16x16_12bins,chi2,0.33,0.1175
spatial_color_16x16_12bins,cosine,0.261,0.0932
spatial_color_32x32_12bins,l1,0.3135,0.1119
spatial_color_32x32_12bins,l2,0.1285,0.0446
spatial_color_32x32_12bins,chi2,0.309,0.1103
spatial_color_32x32_12bins,cosine,0.256,0.0916
spatial_color_4x4_12bins,l1,0.3575,0.1269
spatial_color_4x4_12bins,l2,0.223,0.0784
spatial_color_4x4_12bins,chi2,0.3665,0.1301
spatial_color_4x4_12bins,cosine,0.285,0.1013
spatial_color_8x8_12bins,l1,0.3495,0.1241
spatial_color_8x8_12bins,l2,0.176,0.0614
spatial_color_8x8_12bins,chi2,0.348,0.1236
spatial_color_8x8_12bins,cosine,0.2715,0.0968
spatial_texture_4x4_16P_1R,l1,0.337,0.1177
spatial_texture_4x4_16P_1R,l2,0.3025,0.1055
spatial_texture_4x4_16P_1R,chi2,0.329,0.1148
spatial_texture_4x4_16P_1R,cosine,0.3085,0.1077
spatial_texture_4x4_8P_1R,l1,0.3105,0.1087
spatial_texture_4x4_8P_1R,l2,0.2795,0.0974
spatial_texture_4x4_8P_1R,chi2,0.2925,0.102
spatial_texture_4x4_8P_1R,cosine,0.286,0.0997
spatial_texture_8x8_16P_1R,l1,0.317,0.1108
spatial_texture_8x8_16P_1R,l2,0.2815,0.0979
spatial_texture_8x8_16P_1R,chi2,0.3155,0.11
spatial_texture_8x8_16P_1R,cosine,0.2965,0.103
